廣韻字頭原貌(覈校前)	chr	chr
攝	攝	she
聲調	聲調	tone
廣韻韻部原貌(調整前)	韻母	yun_mu
組	聲母	sheng_mu
呼	開合	kai_he
等	等第	deng_di
合併-廣韻反切	反切	fan_qie
合併-中古拼音(polyhedron 版)	拼音	pinyin
合併-切韻擬音(poem版)	IPA	ipa
